;Sexe;Age_en_Classes;Age;Niv_Education;Sexe_Age;Sexe_Educ;Age_Educ;Sex_Age_Edu;Important;Relance;CulturePays
391;Femme;>70;71;faible;F>55;F_faible;>55_faible;F>55_faible;la santé.;ne pas manquer d'argent, avoir une bonne ambiance familiale, je voudrais pouvoir aider les enfants abandonnés, leur redonner le goût à la vie pouvoir aider les personnes âgées handicapées, secourir les gens autour de soi.;ce serait repartir à zéro sur des bases saines. éducation à l école et en famille.
313;Femme;55_59;59;faible;F>55;F_faible;>55_faible;F>55_faible;c'est de faire ce qu'on veut.;lire. voyager si je pouvais. les loisirs si on pouvait.;garder le patrimoine : les pierres, la nature. les beauxarts.
314;Femme;50_54;50;faible;F31_55;F_faible;31_55_faible;F31_55_faible;la santé puisqu'il faut toujours travailler quand on est commerçant.;une bonne entente en famille. avoir assez d'argent pour vivre.;que tout marche aussi bien dans l administration que dans tout. j en ai assez avec mon compte.
315;Femme;55_59;55;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;la famille, ma famille, mon foyer.;vivre avec la société : mon entourage les voisins, pour faire quelque chose qu' il y ait moins de malheureux. donner du travail aux jeunes surtout.;là je ne sais pas. certainement qu il faut développer la culture. je ne sais pas quoi dire.
937;Homme;40_44;42;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;se sentir bien.;avoir de l'argent.;elle est insuffisante par manque de temps.
277;Femme;50_54;50;faible;F31_55;F_faible;31_55_faible;F31_55_faible;la santé.;le travail. l'argent.;
274;Homme;30_34;30;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;une vie calme et ordonnée aux débordements de génération.;la vie de famille. un bon niveau de vie.;
275;Homme;65_70;67;faible;H>55;H_faible;>55_faible;H>55_faible;d'avoir du travail et pouvoir vivre de son travail.;;pour les jeunes il y en a besoin. si les jeunes n y mettent pas les mains ça marchera pas.
276;Femme;20_24;24;faible;F<=30;F_faible;<=30_faible;F<=30_faible;une bonne entente dans le couple.;avoir un bon niveau de vie. vaincre les maladies. un peu moins de délinquance.;musique. peinture. sculpture.
929;Homme;40_44;42;superieur;H31_55;H_superieur;31_55_superieur;H31_55_superieur;la santé.;vivre normalement. avoir surtout du travail avec du temps de libre si possible et la sécurité.;
270;Femme;35_39;35;faible;F31_55;F_faible;31_55_faible;F31_55_faible;de l'argent.;la santé. du travail.;
569;Femme;18_19;19;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;le weekend.;les vacances. être heureux. pas de soucis la fête.;les hautes études. la littérature.
238;Femme;30_34;34;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;la santé.;être heureux. du travail.;écrivain, artistes, cinéma. c est les médias qui nous la font découvrir, et ne font voir que ce qu ils veulent bien nous faire voir. véritable forêt vierge.
236;Homme;65_70;67;faible;H>55;H_faible;>55_faible;H>55_faible;la santé.;le travail. la liberté.;instruction, connaissances politiques.
237;Femme;45_49;45;faible;F31_55;F_faible;31_55_faible;F31_55_faible;la santé.;le travail, l'amour, l'argent.;pas travailleur comme autrefois, moins affectueux avec leurs parents et recherchent trop les plaisirs et l argent.
243;Femme;20_24;24;superieur;F<=30;F_superieur;<=30_superieur;F<=30_superieur;le bonheur.;la santé, la sécurité de l'emploi.;lecture, c est tout.
245;Homme;40_44;44;faible;H31_55;H_faible;31_55_faible;H31_55_faible;la santé.;la liberté, justice.;pas la seule au monde ! il y en a des plus supérieurs on n est pas trop mal, mais on se croit les meilleurs surtout pas la télévision, le spectacle.
287;Femme;60_64;60;faible;F>55;F_faible;>55_faible;F>55_faible;avoir la santé pour moi en premier.;la bonne entente entre voisins. une vie plus juste, et moins chère.;elle fait vivre les français même à l étranger car on a des français qui y vont pour parler de notre pays.
286;Femme;55_59;55;faible;F31_55;F_faible;31_55_faible;F31_55_faible;se trouver bien dans sa peau.;avoir plus d'argent et s'amuser le plus possible. pouvoir profiter de tout ce qu'on voit sans aucune réticence.;que la France garde sa langue surtout dans les écoles. ses coutumes sont à garder et à transmettre de génération en génération.
547;Homme;40_44;42;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;vivre heureux.;en famille avec les enfants avec les amis relations de travail.;a rien.
546;Homme;25_29;27;superieur;H<=30;H_superieur;<=30_superieur;H<=30_superieur;vivre.;la famille. l'argent. la santé.;bonne. c est tout.
344;Femme;>70;73;faible;F>55;F_faible;>55_faible;F>55_faible;la santé.;la bonne entente avec les enfants.;
343;Femme;20_24;20;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;la santé.;bonne vie familiale. amour. avoir du travail.;l esprit des gens.
394;Femme;20_24;21;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;la santé.;l'argent. les vacances.;rien.
393;Homme;40_44;44;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;la réussite de mes enfants.;que les gens puissent vivre en convivialité comme autrefois. les risques de guerres. il faudrait réfléchir aux applications du progrès.;très moyenne par rapport au reste du monde. elle a plutôt tendance à se dégrader.
392;Homme;25_29;26;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;le bonheur.;santé. paix.;rien, ça ne m intéresse pas.
278;Homme;>70;75;faible;H>55;H_faible;>55_faible;H>55_faible;la santé.;rien d'autre.;je ne sais pas c est tout fait en vitesse on n y comprend plus rien. il y a du bon, du moins bon.
339;Femme;25_29;28;superieur;F<=30;F_superieur;<=30_superieur;F<=30_superieur;la paix.;l'amour. la réussite.;la musique. la lecture. le patrimoine.
340;Femme;45_49;49;faible;F31_55;F_faible;31_55_faible;F31_55_faible;bonheur des enfants.;la santé. la paix. une qualité de vie. ne pas avoir de problèmes d'argent.;livres. musique. patrimoine, châteaux, musées.
341;Homme;35_39;37;superieur;H31_55;H_superieur;31_55_superieur;H31_55_superieur;arriver à donner une situation aux enfants.;la paix. la famille. le travail. l'entente entre les différents voisinages.;poète français : Victor Hugo. technologie : premier avion, première voiture.
342;Homme;55_59;56;faible;H>55;H_faible;>55_faible;H>55_faible;la santé.;la paix. avoir de quoi vivre. bonne entente.;la musique.
997;Homme;18_19;18;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;être bien dans sa peau, en harmonie avec l'entourage.;une famille harmonieuse. réussite des études et professionnelle. entourage sympathique.;deux sortes de gens : combien ont une culture importante et le ras des pâquerettes... littérature... sciences, culture musicale...
998;Femme;55_59;57;superieur;F>55;F_superieur;>55_superieur;F>55_superieur;l'amour en général dans un couple, les enfants, les amis, et les autres humains.;la paix. l'harmonie.;la musique, la littérature, la science. la manière de vivre, politesse. le patrimoine architectural, l art en général.
999;Homme;40_44;44;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;l'harmonie d'un couple.;l'environnement, l'amitié. les loisirs...;la littérature, cinéma environnement (ornements, architecture). musique.
167;Homme;55_59;59;faible;H>55;H_faible;>55_faible;H>55_faible;répondre aux besoins familiaux.;répondre aux besoins de son entourage, voisinage. collectivité.;elle n est pas à mettre de côté, c est peutêtre une des premières dans le monde
156;Homme;18_19;19;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;être heureux.;avoir un bon travail. réussite professionnelle et familiale.;les écrivains, les chanteurs c est tout.
280;Homme;20_24;20;superieur;H<=30;H_superieur;<=30_superieur;H<=30_superieur;la famille.;avoir un emploi stable. mes amis.;Hugo.
281;Femme;45_49;46;superieur;F31_55;F_superieur;31_55_superieur;F31_55_superieur;mon foyer.;le travail de mon mari. la réussite de ma fille tant sur le plan scolaire qu'extrascolaire. l'organisation de ma vie qui me permet de pratiquer des activités autres que celles requises pour la maison.;"j aime les gens cultivés et j écoute les rares émissions télévisées comme ""Apostrophe"". les gens semblent de plus en plus incapables de s arrêter sur des livres et de le transmettre à leurs enfants."
282;Femme;25_29;28;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;la bonne ambiance familiale et professionnelle.;avoir du travail. répondre aux besoins familiaux.;le moindre de mes soucis. ça me laisse perplexe.
395;Femme;20_24;20;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;la vie.;faire ce qu'il faut pour obtenir son salut éternel.;tout ce qu il y a de plus nul.
540;Homme;>70;75;superieur;H>55;H_superieur;>55_superieur;H>55_superieur;continuer ce que j'ai entrepris.;et finir convenablement. que je ne sois pas plus malade qu'à présent, que je bénéficie d'autant de ressources.;elle est fabriquée de pièces chaque jour, qu elle s imprègne des pays environnants, elle n est pas en progrès, elle dépend de son environnement, des éléments qu elle trouve. j aime la musique, pas la musique moderne par exemple.
539;Homme;18_19;19;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;le travail.;la famille.;l école c est tout.
55;Homme;50_54;51;superieur;H31_55;H_superieur;31_55_superieur;H31_55_superieur;la santé.;les amis. l'entente familiale. les loisirs. l'honnêteté. la justice des gens entre eux. le contentement.;que les gens sachent s exprimer correctement qu ils aient des sujets de conversations qu ils peuvent échanger. qu ils puissent faire un choix tout ce qui est culturel, musique, que les gens baignent dans un milieu de connaissance.
1000;Femme;20_24;21;superieur;F<=30;F_superieur;<=30_superieur;F<=30_superieur;l'amour.;le travail. la famille. les amis.;déclin par rapport aux siècles précédents que restera-t-il du xxème siècle ? littérature, arts en général.
993;Femme;35_39;39;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;être bien dans sa peau, santé harmonie sentimentale.;l'amitié. l'entraide. la famille (les enfants). réussite professionnelle.;c est important, le temps de lire, cinéma, sorties, expositions...
994;Femme;25_29;25;superieur;F<=30;F_superieur;<=30_superieur;F<=30_superieur;les enfants.;la santé. un emploi stable. ne pas manquer d'argent.;la télévision. l école. les livres. les journaux.
995;Homme;>70;85;faible;H>55;H_faible;>55_faible;H>55_faible;la santé.;pouvoir vivre bien (dans l'aisance). la tranquillité, la paix. l'amitié.;il faut qu elle s améliore (suppression des produits chimiques).
996;Homme;25_29;26;superieur;H<=30;H_superieur;<=30_superieur;H<=30_superieur;la famille.;le temps libre. les amis.;littérature... culture française... pas grand chose. ?????
