nofinessej;rsej;eml;libeml;noautor;noautorarhgos;noimplarhgos;dateautor;nofinesset;datemeo
690055850;SAS VASELINA;05701;Caméra à scintillation sans détecteur d'émission de positons;842609682;84-82-3888;84-82-3888;2002-06-12;010011112;2005-08-31
690055850;SAS VASELINA;05705;Tomographe à émissions;842609683;84-82-69130;84-82-69130;2019-01-16;010011112;2020-10-05
690055850;SAS VASELINA;05701;Caméra à scintillation sans détecteur d'émission de positons;842609687;84-82-3887;84-82-3887;2001-12-12;010011112;2003-11-26
020002549;SCM CBGD;05701;Caméra à scintillation sans détecteur d'émission de positons;322609467;32-22-652;32-22-652;2007-07-20;020002598;2008-08-07
020002549;SCM CBGD;05701;Caméra à scintillation sans détecteur d'émission de positons;322609468;32-22-653;32-22-653;2002-11-25;020002598;2005-09-23
020007779;SCM CENTRE EXPLORATIONS ISOTOPIQUES;05705;Tomographe à émissions;322609469;32-22-40491;32-22-40491;2007-11-28;020007829;2007-11-28
020007779;SCM CENTRE EXPLORATIONS ISOTOPIQUES;05701;Caméra à scintillation sans détecteur d'émission de positons;322609470;32-22-633;32-22-633;2004-05-12;020007829;2005-03-24
020007779;SCM CENTRE EXPLORATIONS ISOTOPIQUES;05701;Caméra à scintillation sans détecteur d'émission de positons;322609471;32-22-660;32-22-660;2007-11-30;020007829;2008-12-14
800019317;SELAS D'IMAGERIE SCINTIGRAPHIQUE;05705;Tomographe à émissions;322609763;32-22-867;32-22-867;2010-05-31;020018677;2022-03-17
800019317;SELAS D'IMAGERIE SCINTIGRAPHIQUE;05701;Caméra à scintillation sans détecteur d'émission de positons;322609840;32-22-76725;32-22-76725;2022-10-18;020018677;
030780100;CH DE MONTLUCON NERIS-LES-BAINS;05701;Caméra à scintillation sans détecteur d'émission de positons;842609472;84-83-35829;84-83-35829;1994-10-18;030000079;2015-11-16
030780100;CH DE MONTLUCON NERIS-LES-BAINS;05705;Tomographe à émissions;842609816;84-83-75953;84-83-75953;2022-02-23;030000079;
060780962;CENTRE ANTOINE LACASSAGNE;06301;Cyclotron à utilisation médicale;932609476;93-93-1884;93-93-1884;1987-01-06;060000528;1998-08-03
060780962;CENTRE ANTOINE LACASSAGNE;06301;Cyclotron à utilisation médicale;932609475;93-93-43453;93-93-43453;2012-06-28;060024551;2016-09-14
060021664;GIE MOUGINS TEP SITE HP TZANCK;05705;Tomographe à émissions;932609473;93-93-66011;93-93-66011;2018-04-12;060026184;2018-09-10
060021664;GIE MOUGINS TEP SITE HP TZANCK;05705;Tomographe à émissions;932609474;93-93-4824;93-93-4824;2010-07-13;060026184;2010-07-13
060785011;CTRE HOSPITALIER UNIVERSITAIRE DE NICE;44901;Caisson hyperbare;932609477;93-93-1944;93-93-1944;2003-03-12;060785003;2003-03-12
100010016;"GCS ""TEP SUD CHAMPAGNE-GCS MOYENS""";05705;Tomographe à émissions;442609478;44-21-50846;44-21-50846;2014-05-28;100010024;2018-05-28
130037823;HOPITAL PRIVE CLAIRVAL;44901;Caisson hyperbare;932609479;93-93-3793;93-93-3793;1988-03-15;130784051;2000-07-03
130786049;APHM DIRECTION GENERALE;44901;Caisson hyperbare;932609480;93-93-1909;93-93-1909;2001-03-23;130784234;2004-05-04
150000271;CTRE MEDICO-CHIRURGICAL DE TRONQUIERES;05701;Caméra à scintillation sans détecteur d'émission de positons;842609481;84-83-35924;84-83-35924;2003-02-18;150780732;2007-12-21
150000271;CTRE MEDICO-CHIRURGICAL DE TRONQUIERES;05705;Tomographe à émissions;842609815;84-83-75952;84-83-75952;2022-02-23;150780732;2024-09-23
180000887;HOPITAL PRIVE GUILLAUME DE VARYE;05705;Tomographe à émissions;242609482;24-24-72176;24-24-72176;2019-10-11;180004145;2022-01-06
180000887;HOPITAL PRIVE GUILLAUME DE VARYE;05705;Tomographe à émissions;242609483;24-24-1409;24-24-1409;2010-02-05;180004145;2012-02-01
210001343;CENTRE DE MEDECINE NUCLEAIRE DU PARC;05701;Caméra à scintillation sans détecteur d'émission de positons;272609489;27-26-35561;27-26-35561;2010-12-24;210987517;2011-03-28
210001343;CENTRE DE MEDECINE NUCLEAIRE DU PARC;05701;Caméra à scintillation sans détecteur d'émission de positons;272609491;27-26-35652;27-26-35652;2006-12-14;210987517;2007-07-05
210001343;CENTRE DE MEDECINE NUCLEAIRE DU PARC;05705;Tomographe à émissions;272609492;27-26-59735;27-26-59735;2016-06-29;210987517;2017-01-30
210780417;CRLCC GEORGES-FRANCOIS LECLERC;05705;Tomographe à émissions;272609493;27-26-59292;27-26-59292;2016-03-31;210987731;2017-08-01
210780417;CRLCC GEORGES-FRANCOIS LECLERC;05701;Caméra à scintillation sans détecteur d'émission de positons;272609494;27-26-35558;27-26-35558;2005-03-25;210987731;2005-03-25
210780417;CRLCC GEORGES-FRANCOIS LECLERC;05702;Caméra à scintillation avec détecteur d'émission de positons;272609495;27-26-35656;27-26-35656;2008-11-19;210987731;2010-02-19
210780417;CRLCC GEORGES-FRANCOIS LECLERC;05705;Tomographe à émissions;272609496;27-26-35565;27-26-35565;2010-08-26;210987731;2011-09-29
210780417;CRLCC GEORGES-FRANCOIS LECLERC;05701;Caméra à scintillation sans détecteur d'émission de positons;272609497;27-26-35559;27-26-35559;2010-07-23;210987731;2011-07-18
220000020;CH DE SAINT BRIEUC PAIMPOL TREGUIER;05701;Caméra à scintillation sans détecteur d'émission de positons;532609498;53-53-1098;53-53-1098;2005-02-08;220000012;2005-09-09
220000020;CH DE SAINT BRIEUC PAIMPOL TREGUIER;05701;Caméra à scintillation sans détecteur d'émission de positons;532609499;53-53-1099;53-53-1099;2005-02-08;220000012;2005-09-09
220025167;GCS PARTENARIAT MED NUCLEAIRE D'ARMOR;05705;Tomographe à émissions;532609500;53-53-1231;53-53-1231;2008-11-27;220025175;2012-06-28
220025167;GCS PARTENARIAT MED NUCLEAIRE D'ARMOR;05705;Tomographe à émissions;532609813;53-53-76613;53-53-76613;2022-03-04;220025175;2024-09-09
240018424;TEPSCAN-FRANCHEVILLE;05705;Tomographe à émissions;752609501;75-72-74928;75-72-74928;2018-03-27;240018465;2022-11-29
250000643;SAS CLINIQUE SAINT VINCENT;05701;Caméra à scintillation sans détecteur d'émission de positons;272609507;27-43-35643;27-43-35643;2001-12-03;250000270;2001-12-03
250000643;SAS CLINIQUE SAINT VINCENT;05701;Caméra à scintillation sans détecteur d'émission de positons;272609508;27-43-35732;27-43-35732;2003-12-15;250000270;2006-04-07
250000015;CHU BESANCON;05705;Tomographe à émissions;272609502;27-43-35631;27-43-35631;2001-03-29;250006954;2003-04-15
250000015;CHU BESANCON;05705;Tomographe à émissions;272609503;27-43-71571;27-43-71571;2019-07-25;250006954;2020-10-26
250000015;CHU BESANCON;05701;Caméra à scintillation sans détecteur d'émission de positons;272609504;27-43-35729;27-43-35729;2010-02-24;250006954;2011-02-18
250000015;CHU BESANCON;05701;Caméra à scintillation sans détecteur d'émission de positons;272609505;27-43-35637;27-43-35637;2003-12-15;250006954;2016-05-30
250000015;CHU BESANCON;05701;Caméra à scintillation sans détecteur d'émission de positons;272609506;27-43-35641;27-43-35641;2003-12-15;250006954;2003-12-15
260000021;CH DE VALENCE;05701;Caméra à scintillation sans détecteur d'émission de positons;842609509;84-82-1839;84-82-1839;2002-11-13;260000013;2005-10-05
260000021;CH DE VALENCE;05701;Caméra à scintillation sans détecteur d'émission de positons;842609510;84-82-1820;84-82-1820;2004-11-11;260000013;2006-01-03
260000021;CH DE VALENCE;05701;Caméra à scintillation sans détecteur d'émission de positons;842609511;84-82-1838;84-82-1838;2000-12-27;260000013;2002-02-04
260000021;CH DE VALENCE;05705;Tomographe à émissions;842609512;84-82-1760;84-82-1760;2004-10-13;260000013;2009-05-25
260000021;CH DE VALENCE;05701;Caméra à scintillation sans détecteur d'émission de positons;842609513;84-82-1819;84-82-1819;2004-11-10;260000013;2005-07-16
260000021;CH DE VALENCE;05705;Tomographe à émissions;842609817;84-82-75951;84-82-75951;2022-02-23;260000013;
290000017;CHRU BREST;05701;Caméra à scintillation sans détecteur d'émission de positons;532609516;53-53-1119;53-53-1119;2003-02-04;290000058;2007-03-08
290000017;CHRU BREST;05705;Tomographe à émissions;532609514;53-53-1052;53-53-1052;2001-08-02;290004324;2003-01-30
290000017;CHRU BREST;05705;Tomographe à émissions;532609515;53-53-52508;53-53-52508;2014-11-27;290004324;2015-02-27
290000017;CHRU BREST;05705;Tomographe à émissions;532609517;53-53-72614;53-53-72614;2019-11-28;290004324;2024-01-17
290000017;CHRU BREST;44901;Caisson hyperbare;532609518;53-53-1108;53-53-1108;1998-06-06;290004324;1998-07-22
290000017;CHRU BREST;05701;Caméra à scintillation sans détecteur d'émission de positons;532609519;53-53-73764;53-53-73764;2020-05-29;290004324;2021-12-07
290000017;CHRU BREST;05701;Caméra à scintillation sans détecteur d'émission de positons;532609520;53-53-1124;53-53-1124;2008-04-01;290004324;2008-07-18
290000017;CHRU BREST;05701;Caméra à scintillation sans détecteur d'émission de positons;532609521;53-53-1083;53-53-1083;2001-01-12;290004324;2003-04-18
290000017;CHRU BREST;05701;Caméra à scintillation sans détecteur d'émission de positons;532609522;53-53-1395;53-53-1395;2010-05-06;290004324;2011-02-09
290021963;CENTRE DE MEDECINE NUCLEAIRE;05705;Tomographe à émissions;532609523;53-53-68519;53-53-68519;2018-12-27;290017979;2021-02-08
290021963;CENTRE DE MEDECINE NUCLEAIRE;05701;Caméra à scintillation sans détecteur d'émission de positons;532609524;53-53-1117;53-53-1117;2005-07-05;290017979;2007-03-06
